appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
1111970,Zeminator,67,0.925373134,Richard Haraším,Richard Haraším,50,0,1,4,23,1850,3
1112240,Wonder Boy Returns Remix,90,0.733333333,"CFK Co., Ltd.","CFK Co., Ltd.",50,0,1,4,-1,4795,5
1112340,The Dreadful Whispers,161,0.881987578,Blackthornprod,Blackthornprod,50,0,25,23,-1,3695,38
1112370,Now I Am There,52,0.865384615,Harun Yusuf Şahin,Falcon Production,50,0,1,25,23,1095,2
1111540,Room 40,92,0.75,Silhouette Valley Games,Silhouette Valley Games,50,1,37,23,-1,0,27
1111620,Gloomy Eyes,165,0.896969697,3DAR,ARTE France,50,0,25,4,-1,3295,-1
1111760,World of Guns: VR,72,0.347222222,Noble Empire Corp.,Noble Empire Corp.,50,1,37,28,-1,0,8
1111810,Sex Simulator,345,0.72173913,Slippy Floor,Slippy Floor,50,0,23,3,28,224,5
1111830,Sentenced VR,51,0.705882353,Samuel Gordon,Samuel Gordon,50,0,4,23,3,2950,5
1111300,Aim FTW,67,0.597014925,"NetPlay, Inc.","NetPlay, Inc.",50,1,1,25,4,0,14
1111380,ROBOTICS;NOTES ELITE,360,0.922222222,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",82,0,25,-1,-1,13195,137
1111390,ROBOTICS;NOTES DaSH,155,0.722580645,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",50,0,25,-1,-1,13195,28
1111450,Youth Feather,670,0.911940299,Youth Feather Center,Youth Feather Center,50,0,4,23,-1,1095,503
1111460,Bunny eShop,9562,0.949173813,落叶岛项目组,NVLMaker,50,0,25,23,28,4095,1912
1110890,MY WOLF - Desktop Wild Pet,189,0.798941799,3dm_live_wallpapers," 3dm_live_wallpapers	",50,0,25,4,23,1450,83
1110910,Mortal Shell,4930,0.721095335,Cold Symmetry,Playstack,50,0,1,3,-1,11095,1930
1111030,Hentai Bad Girls,593,0.860033727,IR Studio,IR Studio,50,0,4,23,-1,137,21916
1111210,The Backrooms Game FREE Edition,3280,0.833231707,Pie On A Plate Productions,Pie On A Plate Productions,50,1,25,4,37,0,85
1110580,Flex - Figure Reference,65,0.815384615,The Dada Factory,The Dada Factory,50,0,51,53,70,2950,7
1110690,Banter Schooldays!!三〇一室无一人,721,0.904299584,Lingtan Studio,Lingtan Studio,50,0,25,23,-1,1450,108
1110720,The Last Companion,175,0.948571429,Lingtan Studio,Lingtan Studio,50,0,25,23,-1,725,4
1110730,Seek Girl - Patch,65,0.861538462,DSGame,DSGame,50,1,1,4,23,0,0
1110380,Fit For a King,70,0.971428571,Brent Ellison,Kitfox Games,50,0,25,3,28,3695,13
1109690,Asterix & Obelix XXL 3  - The Crystal Menhir,307,0.599348534,Osome Studio,Microids,50,0,25,-1,-1,7995,55
1109820,Pile Up,73,0.97260274,Seed by Seed,HandyGames,50,0,1,25,4,5995,24
1109840,Réussir : Code de la Route,325,0.892307692,Smart Tale Games,Microids,50,0,4,28,-1,5995,67
1110030,Heroes of Myth,62,0.790322581,Choice of Games,Choice of Games,50,0,25,23,3,2950,50
1110050,Evan's Remains,1335,0.883895131,maitan69,Whitethorn Games,75,0,25,4,23,2595,52
1110100,Power Rangers: Battle for the Grid,1342,0.856184799,"nWay, INC","nWay, INC",50,0,1,-1,-1,7395,363
1109360,Hentai Mosaique Fix-IT Shoppe,845,0.928994083,Lil Hentai Games,Lil Hentai Games,50,0,4,3,-1,725,297
1109410,Perspective,536,0.981343284,Widdershins,DigiPen Institute of Technology,50,1,37,-1,-1,0,36
1109460,There is No GreenDam,1633,0.962033068,格林达姆136工程团,格林达姆136工程团,50,1,25,4,37,0,36
1109570,《文字遊戲》,5073,0.941257638,Team9,Team9,50,0,25,23,3,13195,2682
1109630,コイカツ！ / Koikatsu Party VR,115,0.87826087,ILLUSION,ILLUSION,50,1,28,-1,-1,0,1
1109130,逝去的回忆3：四叶草之梦,586,0.969283276,神族宝,神族宝,50,0,23,3,-1,3695,23
1109160,Giants Uprising,181,0.712707182,VARSAV Game Studios,VARSAV Game Studios,50,0,1,23,3,7395,20
1109205,Train Simulator: Bernina Line: Poschiavo - Tirano Route Add-On,50,0.9,Rivet Games,Dovetail Games - Trains,50,0,28,-1,-1,11095,0
1109209,Train Simulator: Norddeutsche-Bahn: Kiel - Lübeck Route Add-On,93,0.47311828,Dovetail Games,Dovetail Games - Trains,50,0,28,-1,-1,9295,0
1108590,Eldest Souls,2700,0.75037037,Fallen Flag Studio,United Label,76,0,1,25,23,7395,719
1108620,Gangsta Woman,92,0.652173913,Tero Lunkka,Tero Lunkka,50,0,25,23,-1,142,1
1108740,Stick Em Up,159,0.666666667,Nicholas Rizzo,Nicholas Rizzo,50,0,1,23,2,5595,9
1108750,Timerunner,116,0.870689655,Sicarius,G-DEVS.com,50,0,1,25,23,2595,1361
1108450,War Thunder - US Starter Pack,327,0.403669725,Gaijin Entertainment,Gaijin Distribution KFT,50,0,1,37,29,1799,0
1108560,罪業狂襲FrenzyRetribution,1419,0.76744186,FrenzyZoneGameworkshop,FunTech,50,1,1,37,23,0,398
1107840,Farming Simulator 19 - Platinum Expansion,312,0.746794872,Giants Software,Giants Software,50,0,28,-1,-1,7900,0
1108000,Children of Silentown,461,0.889370933,Elf Games,Daedalic Entertainment,50,0,25,23,-1,4896,284
1108090,Climb With Wheelbarrow,190,0.878947368,Pickle Drugs,Pickle Drugs,50,0,1,23,28,350,13
1108170,Plot of the Druid,61,1,Yakir Israel,Yakir Israel,50,0,25,23,70,5595,9
1107620,Mystery Island - Hidden Object Games,175,0.668571429,Crisp App Studio,Crisp App Studio,50,0,25,4,23,1450,279
1107750,Faraday Protocol,64,0.9375,Red Koi Box,Deck13,50,0,25,23,-1,7395,14
1107760,Jurassic World Evolution: Herbivore Dinosaur Pack,105,0.942857143,Frontier Developments,Frontier Developments,50,0,28,2,-1,1899,0
1106940,How to Raise a Wolf Girl,321,0.937694704,Sweet & Tea,Sekai Project,50,0,4,23,28,7395,43
1107050,人工智能 阿尔法猫-AI Alpha Cat,105,0.457142857,Mescaline's Wings,Mescaline's Wings,50,0,25,4,23,1850,-1
1107180,The Messenger - Picnic Panic DLC,231,0.835497835,Sabotage,Devolver Digital,50,1,1,23,-1,0,0
1107230,The 13th Doll: A Fan Game of The 7th Guest,176,0.9375,Attic Door Productions,Attic Door Productions,50,0,25,23,-1,7395,71
1107300,Down in Bermuda,818,0.894865526,Yak & Co,Yak & Co,50,0,25,4,23,7395,188
1107340,LONN,131,0.664122137,SixSense Studios,SixSense Studios,50,0,1,25,-1,11095,16
1107370,Demoniaca: Everlasting Night,207,0.714975845,Demon Girl,Demon Girl,50,0,1,25,23,4999,26
1106530,GemCraft - Frostborn Wrath,2337,0.885750963,Game in a Bottle,Game in a Bottle,50,0,1,23,2,4495,2044
1106690,巫师超凡者 Legend of the wizard ,110,0.654545455,MagicBook,MagicBook,50,0,25,4,28,3695,68
1106770,Shepherd of Light,743,0.950201884,Bad Seahorse,John Paul the Great Catholic University,50,1,37,-1,-1,0,50
1106830,Rainbow Billy: The Curse of the Leviathan,148,0.959459459,ManaVoid Entertainment,Skybound Games,81,0,25,23,3,7395,25
1106840,Hydroneer,17705,0.874272804,Foulball Hangover,Foulball Hangover,50,0,25,4,23,5595,8926
1106860,AHEGAL SEASONS,332,0.909638554,Oppai-Man,Oppai-Man,50,0,1,4,-1,317,16
1106880,Tribes of Midgard - Open Beta,489,0.881390593,Norsfell,Gearbox Publishing ,50,0,1,25,23,0,1052
1106920,Nyanco,65,0.8,Nyanco Channel,Nyanco Channel,50,0,1,25,4,350,3
1106340,Legend Bowl,744,0.900537634,Super Pixel Games,Super Pixel Games,50,0,1,23,28,9295,91
1105890,Tilesetter,112,0.901785714,Led,Led,50,0,53,57,60,4795,17
1106060,Attack it! Devil legion,120,0.733333333,Poring,Poring,50,0,1,23,2,3695,12
1106080,Princess Project,419,0.789976134,Triangle!,Kagura Games,50,0,23,3,-1,5595,285
1106140,The Drift Challenge,546,0.811355311,Vencious Games,Vencious Games,50,0,23,9,18,2195,56
1106150,Yet Another Hero Story,51,0.823529412,Sinking Sheep,Sinking Sheep,50,0,25,4,23,2195,10
1106180,SpriteStack,90,0.633333333,Rezoner,Rezoner,50,0,51,53,60,11095,19
1105360,KurtzPel - Karma : Dual Soul,96,0.572916667,KOG,,50,0,1,37,-1,0,0
1105370,Craft The World - Bosses & Monsters,127,0.566929134,Dekovir Entertainment,,50,0,23,3,28,2950,0
1105371,Craft The World - Abandoned Mines,61,0.918032787,Dekovir Entertainment,,50,1,23,3,28,0,0
1105410,Shine's Adventures 2 (Zombie Attack),115,0.913043478,ShineProject,ShineProject,50,0,1,25,4,1095,13
1105500,Yakuza 4 Remastered,3539,0.924554959,Ryu Ga Gotoku Studio,SEGA,50,0,1,25,-1,7900,905
1105510,Yakuza 5 Remastered,3702,0.903835764,Ryu Ga Gotoku Studio,SEGA,50,0,1,25,-1,7900,826
1105590,Dream Cycle,235,0.680851064,Cathuria Games,Raw Fury,50,0,1,25,23,7395,48
1105620,Exertus,278,0.870503597,Loneminded,Loneminded,50,0,1,4,23,137,13
1105670,The Last Spell,8452,0.915049692,Ishtar Games,The Arcade Crew,50,0,1,23,3,9295,6723
1105740,Wheel of Fate,56,0.803571429,UDX Interactive Inc.,UDX Interactive Inc.,50,0,23,3,-1,2595,6
1105040,Alchemist Simulator,327,0.758409786,Art Games Studio S.A.,Art Games Studio S.A.,50,0,4,23,28,4799,87
1105110,OXXO,218,0.95412844,Hamster On Coke Games,Hamster On Coke Games,50,0,4,23,-1,725,-1
1104660,MO:Astray,4512,0.922207447,Archpray Inc.,Rayark International Limited,50,0,1,25,23,5595,475
1104880,American Truck Simulator - Utah,487,0.876796715,SCS Software,SCS Software,50,0,23,28,-1,4095,0
1104890,From Head to Toe,93,0.76344086,Party for Introverts,Party for Introverts,50,1,25,4,23,0,5
1104220,Kyle Simulator,127,0.858267717,RIVERSIDE SPORTS,RIVERSIDE SPORTS,50,0,28,-1,-1,350,4
1104280,The Slormancer,3789,0.801002903,Slormite Studios,Slormite Studios,50,0,1,25,23,5595,4543
1104330,Founders' Fortune,1864,0.820815451,Dionic Software,Dionic Software,50,0,23,28,2,7395,834
1104340,"Get To Work, Succubus-Chan!",399,0.804511278,SmallSqurriel,Mango Party,50,0,1,4,23,3695,29
1104380,The Room VR: A Dark Matter,3131,0.976365378,Fireproof Games,Fireproof Games,50,0,25,-1,-1,11095,137
1104390,Ravenfield: Multiplayer Mod,1224,0.584150327,BlipBloop,BlipBloop,50,1,1,4,37,0,238
1103730,Shing!,312,0.762820513,Mass Creation,Mass Creation,52,0,1,25,23,7395,63
1103770,Super Arcade Racing,83,0.951807229,OutOfTheBit Ltd,OutOfTheBit Ltd,50,0,1,25,4,4249,6
1103780,Top Speed 2: Racing Legends,138,0.565217391,T-Bull,T-Bull,50,1,37,9,28,0,76
1103800,World War Zero,100,0.84,Rebellion,Rebellion,50,0,1,-1,-1,1850,4
1103830,Generation Zero® - Bikes,75,0.773333333,Systemic Reaction™,Systemic Reaction™,50,1,1,25,-1,0,0
1103840,Frostpunk: Digital Artbook,98,0.908163265,11 bit studios,11 bit studios,50,0,28,2,-1,0,-1
1103860,The Wizards - Dark Times,416,0.786057692,Carbon Studio,Carbon Studio,83,0,1,25,-1,9295,42
1103880,Bullet Roulette VR,477,0.838574423,Fibrum Limited,Fibrum Limited,50,0,1,4,23,2950,32
1103210,We Become What We Behold,3432,0.968822844,Mismatch Studio,Mismatch Studio,50,1,4,23,-1,0,438
1103310,Sea Bubble,59,0.983050847,KST Studio,Beltane Games,50,0,4,23,18,1850,-1
1103490,Sweet Dream Succubus - Nightmare Edition,325,0.769230769,The Poundry,TinyHat Studios,50,0,25,4,23,1850,21
1102780,Desert Of The Dead,419,0.68973747,KuKusFs Production,KuKusFs Production,50,0,1,25,23,725,10
1102880,Kawaii Deathu Desu,195,0.671794872,Pippin Games,Top Hat Studios Inc,50,0,1,4,23,1450,18
1102930,KoboldKare,1010,0.918811881,Naelstrof,Naelstrof,50,0,4,23,3,5595,459
1102980,英雄群侠传,491,0.924643585,熊窝dodox,熊窝dodox,50,0,25,23,3,1450,14
1103100,1000 days to escape,349,0.828080229,Lemon Squeezy,Lemon Squeezy,50,0,4,23,-1,1850,96
1102310,Total War: THREE KINGDOMS - Eight Princes,1786,0.358342665,CREATIVE ASSEMBLY,SEGA,67,0,1,2,-1,3895,0
1102380,Order of Battle: Red Star,51,0.725490196,The Artistocrats,Slitherine Ltd.,50,0,28,2,-1,5595,0
1102500,A Glider's Journey,71,0.61971831,Emma Franklin,Emma Franklin,50,0,1,25,4,1850,10
1102580,Traffix,65,0.707692308,Infinity Games,Infinity Games,50,0,23,28,-1,1850,7
1102650,Neon City Riders,53,0.867924528,Mecha Studios,Bromio,50,0,1,25,23,7395,10
1101930,Monsters of Little Haven,299,0.892976589,Nikita Kaf,Missing Calm,50,0,25,23,-1,4395,8
1101980,白石洲往事,57,0.280701754,DRILL Games,DRILL Games,50,0,25,4,23,1095,8
1102100,TINY METAL: FULL METAL RUMBLE,144,0.840277778,"AREA 35, Inc.","AREA 34, Inc.",70,0,23,28,2,5595,49
1102130,Florence,9911,0.937645041,Mountains,Annapurna Interactive,50,0,25,4,23,2195,136
1102190,Monster Train,18500,0.961567568,Shiny Shoe,Good Shepherd Entertainment,86,0,2,-1,-1,9295,14037
1029500,中华三国志,1258,0.858505564,中三之家,中三之家,50,1,37,23,2,0,420
1029570,Perfect Round Disc Golf,67,0.850746269,Tree Branch Games,Tree Branch Games,50,0,4,23,28,7395,14
1029630,Power & Revolution 2019 Edition,1203,0.611803824,Eversim,Eversim,50,0,28,2,-1,18995,323
1029650,יום פתוח,110,1,Rafael Ben-Ari,Rafael Ben-Ari,50,0,25,23,3,5500,25
1029730,VR Ping Pong Pro,58,0.517241379,Reddoll Srl,Merge Games ,50,0,18,-1,-1,9295,4
1029760,TANKNAROK,105,0.923809524,Polyblock Studio,Polyblock Studio,50,0,1,23,-1,2195,20
1029860,Amber's Airline - 7 Wonders,83,0.915662651,Old Skull Games,GameHouse,50,0,4,-1,-1,4795,23
1029870,Unsung Heroes: The Golden Mask,76,0.776315789,Threaks,GameHouse,50,0,25,4,2,4795,13
1029890,Layers of Fear 2,2228,0.719479354,Bloober Team SA,Bloober Team SA,70,0,25,4,23,7395,714
1029900,Rummy 3D Premium,53,0.698113208,BufoProject,BufoProject,50,0,4,23,29,3695,15
1029170,Skautfold: Moonless Knight,50,0.84,Steve Gal,Pugware,50,0,1,25,23,737,8
1029240,Hentai Survive Island,189,0.677248677,CggtGroup,CggtGroup,50,0,1,25,28,350,19
1029260,Unsung Story,54,0.425925926,Little Orbit,Little Orbit,50,0,3,2,70,11095,27
1029320,Fate/EXTELLA LINK - Young Altera,62,0.967741935,Marvelous Inc.,XSEED Games,50,0,1,-1,-1,3695,0
1029331,Fate/EXTELLA LINK - Sparkling Frills,59,0.966101695,Marvelous Inc.,XSEED Games,50,0,1,-1,-1,725,0
