appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
746560,Gadgeteer,114,0.973684211,Metanaut,Metanaut,50,0,23,28,-1,5595,-1
746580,HARDCORE MECHA,2457,0.82987383,RocketPunch Games,RocketPunch Games,50,0,1,23,-1,7395,1754
746620,Bakery,115,0.817391304,ChaoYe Liu,Happy Home Company,50,0,4,28,-1,2950,60
746710,Cypher,641,0.920436817,Matthew Brown,Matthew Brown,50,0,23,-1,-1,1850,166
746730,Battlerite - All Champions Pack,315,0.914285714,Stunlock Studios,,50,0,1,37,-1,3695,0
746840,Chronicles of Magic: Divided Kingdoms,186,0.833333333,The House of Fables,Artifex Mundi,50,0,25,4,-1,5595,36
746850,Cloudpunk,12427,0.887744427,ION LANDS,ION LANDS,73,0,25,23,3,7395,914
746910,Chicken Farm 2K17,302,0.774834437,Jakal Studios,Jakal Studios,50,1,4,37,23,0,225
746920,Rapid Tap,379,0.92348285,Wolfborg Games,Wolfborg Games,50,1,4,37,23,0,-1
746930,OrbusVR,1198,0.7721202,"Orbus Online, LLC","Orbus Online, LLC",50,0,23,29,3,7395,372
746940,Nippon Marathon,291,0.917525773,Onion Soup Interactive,PQube,50,0,23,9,18,5595,17
746960,Tannenberg - Supporter Edition Upgrade,59,0.949152542,Blackmill Games,M2H,50,0,1,23,2,1850,1
746140,The walking zombie: Dead city,420,0.757142857,Alda Games,Alda Games,50,0,1,4,-1,1095,165
746350,Air Combat Arena,60,0.533333333,Sky Coder,Sky Coder,50,0,1,4,23,350,4
746390,PlayClaw 6,96,0.677083333,Eduard Kozadaev,Eduard Kozadaev,50,0,52,56,57,11095,23
746400,Speed Dating for Ghosts,421,0.959619952,Copychaser Games,Copychaser Games,50,0,4,23,28,2595,61
746510,Duck Season PC,790,0.925316456,Stress Level Zero,Stress Level Zero,50,0,4,23,-1,3695,68
745670,3D Tower,135,0.266666667,Mikhail Melnikov,Mikhail Melnikov,50,0,4,23,-1,101,6
745710,SMACKHEAD,87,0.379310345,Default_Name,Displacement Studios,50,0,1,4,23,350,33
745740,Reflex,761,0.856767411,Easy game,Game for people,50,0,1,4,23,350,2611
745760,Perceptions of the Dead,319,0.921630094,Ithaqua Labs,Ithaqua Labs,50,1,25,4,37,0,32
745810,Spirit Animal Survival,126,0.714285714,True Illusion Software,True Illusion Software,50,0,1,25,29,5595,21
745850,KARAKARA2,604,0.94205298,calme,Sekai Project,50,0,4,23,-1,3695,72
745880,東方天空璋 ～ Hidden Star in Four Seasons.,4453,0.985403099,上海アリス幻樂団,"Mediascape Co., Ltd.",50,0,1,23,-1,5595,501
745890,This Is Not A Jumping Game,122,0.959016393,Heero,Heero,50,0,1,25,4,1450,11
745920,Temtem,36718,0.840677597,Crema,Humble Games,79,0,25,23,29,16995,39501
745940,Quanect,54,0.740740741,Sergey Chernenko,Sergey Chernenko,50,0,25,23,28,350,2
745950,Apparition,87,0.804597701,MrCiastku,No Gravity Games,50,0,1,23,70,3695,10
745960,A Sky Full of Stars,762,0.960629921,MoeNovel,MoeNovel,50,0,25,4,28,6695,73
745370,Purple Heart,116,0.5,Artalasky,Artalasky,50,0,25,23,-1,7395,6
745380,Znkl - 177,77,0.558441558,Snkl Studio,Snkl Studio,50,0,4,23,-1,1030,5
